tid, section, row, seat, list_price, sold_price, sold_date, transaction, gname

a099153f-5eaf-4f20-b39f-b7042a089ff4,7,14,20,838.54,631.59,2023-05-17,cff103ca-8087-46bf-a000-5ff55fb2620d,US vs.CN 2023-08-20
b2bbaed5-10d0-4fec-8a99-de1988d3a718,7,14,21,838.54,631.59,2023-05-17,cff103ca-8087-46bf-a000-5ff55fb2620d,US vs.CN 2023-08-20
25982f76-7b0f-4208-be6b-52c7848727c2,1,31,20,666.85,539.68,2023-05-09,fbf733e9-6733-4570-9081-e8b3dd9372a6,PT vs.CZ 2023-06-27
e0c3c69e-978e-42e0-8245-6adf789b4ca8,1,31,21,666.85,539.68,2023-05-09,fbf733e9-6733-4570-9081-e8b3dd9372a6,PT vs.CZ 2023-06-27
25c167f9-4e32-4407-adc7-c47d6fecad84,1,31,22,666.85,539.68,2023-05-09,fbf733e9-6733-4570-9081-e8b3dd9372a6,PT vs.CZ 2023-06-27
e993d61f-7ad3-4c16-be87-a22419b1d884,1,31,23,666.85,539.68,2023-05-09,fbf733e9-6733-4570-9081-e8b3dd9372a6,PT vs.CZ 2023-06-27
0875a679-102b-4871-8200-c16d5f8c9120,1,31,24,666.85,539.68,2023-05-09,fbf733e9-6733-4570-9081-e8b3dd9372a6,PT vs.CZ 2023-06-27
5aa0629d-dd58-43f4-8bdb-e1e60371f481,1,31,25,666.85,539.68,2023-05-09,fbf733e9-6733-4570-9081-e8b3dd9372a6,PT vs.CZ 2023-06-27
26a63b38-7afa-4f70-893d-7ec146aef3b8,8,161,79,144.34,100.46,2022-12-18,ba04f886-7fcb-4ad8-ae82-89fae8e9e2b3,PT vs.CZ 2023-06-27
222b1d89-c483-4645-a880-ba1cb316499d,8,161,80,144.34,100.46,2022-12-18,ba04f886-7fcb-4ad8-ae82-89fae8e9e2b3,PT vs.CZ 2023-06-27
d77f9a6c-dd4e-455f-a732-d2dc724c6e70,8,161,81,144.34,100.46,2022-12-18,ba04f886-7fcb-4ad8-ae82-89fae8e9e2b3,PT vs.CZ 2023-06-27
fc1282e5-d76b-46d5-81ca-7ba133e1d33a,8,161,82,144.34,100.46,2022-12-18,ba04f886-7fcb-4ad8-ae82-89fae8e9e2b3,PT vs.CZ 2023-06-27
2ff48b4d-27d0-47f6-93b7-80605abc7210,8,161,83,144.34,100.46,2022-12-18,ba04f886-7fcb-4ad8-ae82-89fae8e9e2b3,PT vs.CZ 2023-06-27
7df47107-e20b-40ed-b372-86a91723e024,8,161,84,144.34,100.46,2022-12-18,ba04f886-7fcb-4ad8-ae82-89fae8e9e2b3,PT vs.CZ 2023-06-27
